LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
107499-6,Calcitonin^20M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,20M p chal; After; Calcit^20M p XXX chal; Chemistry; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 20M p chal SerPl-mCnc,Both,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,pg/mL,,,,0,0,,,,,,2.81,,Calcitonin 20 Min post Unsp challenge [Mass/Vol]
12506-2,Calcitonin^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; Convalescent; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp2; sp2 p chal; Spec; SR; Thyrocalcitonin; Tumor marker,Calcit sp2 p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,pg/mL,,,,17350,0,,,,,,1.0j-a,,Calcitonin 2nd specimen post Unsp challenge [Mass/Vol]
12507-0,Calcitonin^3rd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp3; sp3 p chal; Spec; SR; Thyrocalcitonin; Tumor marker,Calcit sp3 p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --3rd specimen post XXX challenge,pg/mL,,,,17351,0,,,,,,1.0j-a,,Calcitonin 3rd specimen post Unsp challenge [Mass/Vol]
12508-8,Calcitonin^4th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp4; sp4 p chal; Spec; SR; Thyrocalcitonin; Tumor marker,Calcit sp4 p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --4th specimen post XXX challenge,pg/mL,,,,17352,0,,,,,,1.0j-a,,Calcitonin 4th specimen post Unsp challenge [Mass/Vol]
12509-6,Calcitonin^5th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp5; sp5 p chal; Spec; SR; Thyrocalcitonin; Tumor marker,Calcit sp5 p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --5th specimen post XXX challenge,pg/mL,,,,17353,0,,,,,,1.0j-a,,Calcitonin 5th specimen post Unsp challenge [Mass/Vol]
12510-4,Calcitonin^6th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp6; sp6 p chal; Spec; SR; Thyrocalcitonin; Tumor marker,Calcit sp6 p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --6th specimen post XXX challenge,pg/mL,,,,17354,0,,,,,,1.0j-a,,Calcitonin 6th specimen post Unsp challenge [Mass/Vol]
1372-2,Calcitonin^90s post 0.5 ug/kg pentagastrin IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.38,MIN,,ACTIVE,,1,,,,,Y,90S p 0.5 ug/kg Pg IV; After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 90S p 0.5 ug/kg Pg IV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --90 seconds post 0.5 ug/kg pentagastrin IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin 90 seconds post 0.5 ug/kg pentagastrin IV [Mass/Vol]
1373-0,Calcitonin^10M post 2.4 mg/kg calcium short IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,10M p 2.4 mg/kgCa sIV; After; Ca; Cal; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 10M p 2.4 mg/kgCa sIV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --10 minutes post 2.4 mg/kg calcium short IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin 10 Min post 2.4 mg/kg calcium short IV [Mass/Vol]
1374-8,Calcitonin^3H post 15 mg/kg calcium gluconate IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,3h p 15 mg/kg CaG IV; After; Ca; Cal; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 3h p 15 mg/kg CaG IV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --3 hours post 15 mg/kg calcium gluconate IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin 3 Hr post 15 mg/kg calcium gluconate IV [Mass/Vol]
1375-5,Calcitonin^4H post 15 mg/kg calcium gluconate IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,4h p 15 mg/kg CaG IV; After; Ca; Cal; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 4h p 15 mg/kg CaG IV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --4 hours post 15 mg/kg calcium gluconate IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin 4 Hr post 15 mg/kg calcium gluconate IV [Mass/Vol]
1376-3,Calcitonin^5M post 0.5 ug/kg pentagastrin IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,5M p 0.5 ug/kg Pg IV; After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 5M p 0.5 ug/kg Pg IV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --5 minutes post 0.5 ug/kg pentagastrin IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin 5 Min post 0.5 ug/kg pentagastrin IV [Mass/Vol]
1377-1,Calcitonin^5M post 2.4 mg/kg calcium short IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,5M p 2.4 mg/kgCa sIV; After; Ca; Cal; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 5M p 2.4 mg/kgCa sIV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --5 minutes post 2.4 mg/kg calcium short IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin 5 Min post 2.4 mg/kg calcium short IV [Mass/Vol]
1378-9,Calcitonin^pre 0.5 ug/kg pentagastrin IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,Before; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; mcg; Pl; Plasma; Plsm; Point in time; pre 0.5 ug/kg Pg IV; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit pre 0.5 ug/kg Pg IV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --pre 0.5 ug/kg pentagastrin IV,pg/mL,,,,19500,0,,,,,,1.0,,Calcitonin pre 0.5 ug/kg pentagastrin IV [Mass/Vol]
1379-7,Calcitonin^pre 2.4 mg/kg calcium short IV,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,Before; Ca; Cal; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; pre 2.4 mg/kgCa sIV; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit pre 2.4 mg/kgCa sIV SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --pre 2.4 mg/kg calcium short IV,pg/mL,,,,0,0,,,,,,1.0,,Calcitonin pre 2.4 mg/kg calcium short IV [Mass/Vol]
13924-6,Calcitonin Ab,PrThr,Pt,Ser,Ord,,SERO,2.56,MIN,,ACTIVE,,1,,,,,,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; CT; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; Serum; SR; Thyrocalcitonin; Tumor marker,Calcit Ab Ser Ql,Both,,,,Calcitonin Ab [Presence] in Serum,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0k,,Calcitonin Ab Ql (S)
15035-9,Calcitonin,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; CT; Endocrine; Endocrinology; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Thyrocalcitonin; Tumor marker,Calcit SerPl-sCnc,Both,,,pmol/L,Calcitonin [Moles/volume] in Serum or Plasma,pmol/L,,,,15972,0,,,,,,1.0k,,Calcitonin [Moles/Vol]
16504-3,Calcitonin^1.5M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,1.5M p chal; After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 1.5M p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --1.5 minutes post XXX challenge,pg/mL,,,,0,0,,,,,,1.0l,,Calcitonin 1.5 Min post Unsp challenge [Mass/Vol]
16505-0,Calcitonin^10M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,10M p chal; After; CHEMISTRY.CHALLENGE TESTING; CT; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Thyrocalcitonin; Tumor marker,Calcit 10M p chal SerPl-mCnc,Observation,,,pg/mL,Calcitonin [Mass/volume] in Serum or Plasma --10 minutes post XXX challenge,pg/mL,,,,0,0,,,,,,1.0l,,Calcitonin 10 Min post Unsp challenge [Mass/Vol]
